conv1_filters,conv2_filters,fc_hidden,dropout,epochs,batch_size,learning_rate,momentum,label,test_loss,test_acc,train_time_s
10,20,50,0.5,5,64,0.01,0.5,baseline,0.4072,85.29,38.2
4,20,50,0.5,5,64,0.01,0.5,conv1_filters=4,0.4422,83.9,31.4
8,20,50,0.5,5,64,0.01,0.5,conv1_filters=8,0.4327,84.39,35.8
16,20,50,0.5,5,64,0.01,0.5,conv1_filters=16,0.4246,84.11,95.8
24,20,50,0.5,5,64,0.01,0.5,conv1_filters=24,0.4025,85.31,57.4
32,20,50,0.5,5,64,0.01,0.5,conv1_filters=32,0.3925,85.84,65.2
48,20,50,0.5,5,64,0.01,0.5,conv1_filters=48,0.3747,86.73,81.3
10,8,50,0.5,5,64,0.01,0.5,conv2_filters=8,0.4701,83.4,37.8
10,16,50,0.5,5,64,0.01,0.5,conv2_filters=16,0.4345,84.38,401.1
10,32,50,0.5,5,64,0.01,0.5,conv2_filters=32,0.4018,85.29,40.2
10,40,50,0.5,5,64,0.01,0.5,conv2_filters=40,0.3981,85.41,42.2
10,64,50,0.5,5,64,0.01,0.5,conv2_filters=64,0.3537,87.32,45.8
10,20,25,0.5,5,64,0.01,0.5,fc_hidden=25,0.4047,85.38,39.1
10,20,75,0.5,5,64,0.01,0.5,fc_hidden=75,0.4152,84.97,39.5
10,20,100,0.5,5,64,0.01,0.5,fc_hidden=100,0.385,86.21,39.5
10,20,150,0.5,5,64,0.01,0.5,fc_hidden=150,0.4016,85.01,39.6
10,20,200,0.5,5,64,0.01,0.5,fc_hidden=200,0.3998,85.21,39.8
10,20,300,0.5,5,64,0.01,0.5,fc_hidden=300,0.3769,86.52,40.3
10,20,50,0.1,5,64,0.01,0.5,dropout=0.1,0.373,86.51,43.4
10,20,50,0.2,5,64,0.01,0.5,dropout=0.2,0.386,86.48,40.5
10,20,50,0.3,5,64,0.01,0.5,dropout=0.3,0.3881,85.88,41.3
10,20,50,0.4,5,64,0.01,0.5,dropout=0.4,0.4109,85.2,39.4
10,20,50,0.6,5,64,0.01,0.5,dropout=0.6,0.4247,84.83,39.7
10,20,50,0.75,5,64,0.01,0.5,dropout=0.75,0.4704,82.64,39.4
10,20,50,0.5,5,16,0.01,0.5,batch_size=16,0.3462,87.39,50.7
10,20,50,0.5,5,32,0.01,0.5,batch_size=32,0.3609,86.83,42.9
10,20,50,0.5,5,128,0.01,0.5,batch_size=128,0.4805,82.56,38.5
10,20,50,0.5,5,256,0.01,0.5,batch_size=256,0.5772,78.76,39.5
10,20,50,0.5,5,512,0.01,0.5,batch_size=512,0.6698,74.79,38.2
10,20,50,0.5,5,64,0.001,0.5,lr=0.001,0.6991,73.74,41.4
10,20,50,0.5,5,64,0.005,0.5,lr=0.005,0.4871,82.71,40.5
10,20,50,0.5,5,64,0.02,0.5,lr=0.02,0.3658,86.8,40.6
10,20,50,0.5,5,64,0.05,0.5,lr=0.05,0.3374,88.02,39.9
10,20,50,0.5,5,64,0.1,0.5,lr=0.1,0.3514,86.83,40.6
10,20,50,0.5,2,64,0.01,0.5,epochs=2,0.5152,80.24,16.3
10,20,50,0.5,3,64,0.01,0.5,epochs=3,0.4566,83.62,24.8
10,20,50,0.5,8,64,0.01,0.5,epochs=8,0.3605,87.12,63.8
10,20,50,0.5,10,64,0.01,0.5,epochs=10,0.3523,87.06,79.6
8,16,150,0.3,5,32,0.005,0.5,random_0,0.3891,85.85,41.8
8,16,200,0.2,5,32,0.005,0.5,random_1,0.3791,86.23,41.5
10,20,50,0.3,5,128,0.02,0.5,random_2,0.3865,86.05,38.2
32,40,100,0.5,5,128,0.01,0.5,random_3,0.4271,84.52,66.8
8,20,200,0.4,5,64,0.005,0.5,random_4,0.4601,83.36,38.1
10,32,50,0.2,5,64,0.005,0.5,random_5,0.4548,83.88,41.3
16,32,150,0.2,5,128,0.01,0.5,random_6,0.4625,83.04,47.4
32,16,200,0.2,5,128,0.01,0.5,random_7,0.4415,83.86,62.8
32,32,100,0.2,5,32,0.02,0.5,random_8,0.2767,90.0,72.5
10,32,50,0.3,5,32,0.01,0.5,random_9,0.3314,87.82,45.4
16,40,150,0.3,5,64,0.01,0.5,random_10,0.3693,86.54,50.6
10,32,50,0.3,5,128,0.02,0.5,random_11,0.3654,87.16,39.4
10,20,200,0.5,5,64,0.02,0.5,random_12,0.3527,86.92,40.6
32,20,150,0.2,5,32,0.005,0.5,random_13,0.3531,87.12,70.7
16,40,150,0.2,5,32,0.02,0.5,random_14,0.2939,89.59,55.6
16,20,200,0.5,5,128,0.01,0.5,random_15,0.4474,83.94,47.0
10,32,100,0.3,5,128,0.02,0.5,random_16,0.3695,86.87,40.9
32,32,200,0.5,5,64,0.005,0.5,random_17,0.4211,85.01,68.2
10,40,50,0.2,5,32,0.005,0.5,random_18,0.374,86.53,47.5
10,40,50,0.5,5,64,0.02,0.5,random_19,0.341,87.67,42.5
24,32,50,0.2,5,128,0.02,0.5,random_20,0.3776,86.53,57.9
16,32,50,0.4,5,64,0.005,0.5,random_21,0.4145,85.0,48.9
24,16,150,0.3,5,128,0.005,0.5,random_22,0.5285,79.8,55.1
16,20,100,0.4,5,32,0.02,0.5,random_23,0.3042,88.96,51.4
32,16,150,0.5,5,32,0.005,0.5,random_24,0.3854,85.95,70.0
